NGC3628;11h20.3m;+13d35m;Leo;Gal;9.5;14.8m-3.3m;King Hamletms Ghost
NGC4214;12h15.6m;+36d20m;Crux;Gal;9.1;9.6m-8.1m;None
NGC4216;12h15.9m;+13d09m;Vela;Gal;10;7.9m-1.7m;Silver Streak Gal
NGC4361;12h24.5m;-18d47m;Crux;Planetary Neb;10.2;1.9m-1.9m;None
Mel111;12h25.1m;+26d07m;Columba;Open Clus;1.6;300m;Coma Berenices Clus
NGC4490;12h30.6m;+41d39m;Crux;Gal;9.5;5.6m;Cocoon Gal
IC3568;12h33.1m;+82d34m;Caelum;Planetary Neb;10.3;18m-18m;Theoreticianms Neb
NGC4526;12h34.0m;+07d42m;Vela;Gal;9.9;7.4m-2.7m;Hairy Eyebrow Gal
NGC4605;12h40.0m;+61d36m;Tucana;Gal;10.3;5.7m-2.5m;Fabergem Egg Gal
NGC4656;12h44.0m;+32d10m;Crux;Gal;10.5;18.8m-3.2m;Messierms Hockey Stick
NGC4699;12h49.0m;-08d40m;Vela;Gal;9.5;3.1m-2.5m;Vinyl LP Gal
NGC4725;12h50.4m;+25d30m;Columba;Gal;9.2;10.5m-8.1m;None
NGC5102;13h22.0m;-36d38m;Cassiopeia;Gal;9.3;8.3m-3.5m;Iotams Ghost
NGC5281;13h46.6m;-62d55m;Cassiopeia;Open Clus;6.1;8m;Lacaille
NGC5363;13h56.1m;+05d15m;Vela;Gal;10.1;4.7m-3.2m;None
NGC5662;14h35.5m;-56d40m;Cassiopeia;Open Clus;5.5;30m;Lacaille
NGC5746;14h44.9m;+01d57m;Vela;Gal;9.3;8.1m-1.4m;Blade&Pearl Gal
NGC5866;15h06.5m;+55d46m;Dorado;Gal;9.8;7.3m-3.5m;Foolms Gold Gal
NGC5897;15h17.4m;-21d01m;Lepus;Glob Clus;8.2;11m;Ghost Glob
NGC5986;15h46.1m;-37d47m;Libra;Glob Clus;7.8;9.6m;None
NGC6210;16h44.5m;+23d48m;Grus;Planetary Neb;8.4;48m-8m;Turtle Neb
NGC6242;16h55.5m;-39d28m;Sagittarius;Open Clus;6.2;9m;Lacaille
NGC6281;17h04.8m;-37d53m;Sagittarius;Open Clus;5.8;8m;Moth Wing Clus
NGC6369;17h29.3m;-23d46m;Octans;Planetary Neb;11.4;58m-34m;Little Ghost Neb
NGC6400;17h40.2m;-36d58m;Sagittarius;Open Clus;8.3;12m;Phantom Clus
IC4665;17h46.2m;+05d43m;Octans;Open Clus;4.7;70m;Caroline Herschel
NGC6445;17h49.2m;-20d01m;Sextans;Planetary Neb;11.2;3.1m-0.9m;Box Neb
NGC6503;17h49.4m;+70d09m;Dorado;Gal;10.4;5.9m-2.2m;Lost-In-Space Gal
NGC6441;17h50.2m;-37d03m;Sagittarius;Glob Clus;7.2;9.6m;Silver Nugget Clus
XXXX;17h57.8m;+04d40m;Octans;High Proper Motion Star;9.5;NA;Barnardms Star
NGC6520;18h03.4m;-27d54m;Sextans;Open Clus;7.6;5m;Dead Manms Chest
NGC6544;18h07.3m;-25d00m;Sextans;Glob Clus;7.5;4.6m;Starfish Clus
NGC6572;18h12.1m;+06d51m;Octans;Planetary Neb;7.3;16m-13m;Emerald Eye Planetary
NGC6624;18h23.7m;-30d22m;Sextans;Glob Clus;7.8;8.8m;None
NGC6633;18h27.2m;+06d30m;Octans;Open Clus;4.3;20m;Caroline Herschel
IC4756;18h38.9m;+05d26m;Scutum;Open Clus;4.3;40m;Tweedledee Clus
NGC6709;18h51.5m;+10d20m;Apus;Open Clus;6.8;15m;Flying Unicorn Clus
NGC6712;18h53.1m;-08d42m;Scorpius;Glob Clus;8.3;9.8m;None
NGC6723;18h59.5m;-36d38m;Sextans;Glob Clus;6.9;13.0m;None
Cr399;19h26.2m;+20d06m;Volans;Asterism;3.5;90m;Coathanger
NGC6819;19h41.3m;+40d11m;Crux;Open Clus;7.3;5m;Caroline Herschel
